t,o,c,h,l,v
2010-09-30,1.4666666666666666,1.3603333333333334,1.4766599999999999,1.346,2195800.0
2010-10-01,1.3793333333333333,1.3733333333333335,1.3833333333333333,1.3539999999999999,597700.0
2010-10-04,1.3619999999999999,1.3993333333333333,1.4113333333333333,1.3533333333333333,643600.0
2010-10-05,1.41,1.4080000000000001,1.4186666666666667,1.4006666666666667,332000.0
2010-10-06,1.404,1.364,1.4172,1.3546666666666667,313400.0
2010-10-07,1.3713333333333333,1.3619999999999999,1.3760000000000001,1.3559999999999999,141000.0
2010-10-08,1.3619999999999999,1.3619999999999999,1.386,1.3593333333333333,267800.0
2010-10-11,1.3626666666666667,1.3493333333333333,1.3799333333333335,1.338,171200.0
2010-10-12,1.3466666666666667,1.3493333333333333,1.3521933333333334,1.3353333333333335,244000.0
2010-10-13,1.3760000000000001,1.3693333333333333,1.3900000000000001,1.3573333333333333,318200.0
2010-10-14,1.4,1.3833333333333333,1.4019933333333334,1.3599999999999999,294800.0
2010-10-15,1.3926666666666667,1.3693333333333333,1.3933333333333333,1.35,284700.0
2010-10-18,1.3679999999999999,1.3486666666666667,1.3759933333333334,1.3479999999999999,162800.0
2010-10-19,1.3466666666666667,1.3366666666666667,1.3604066666666665,1.3333333333333333,245200.0
2010-10-20,1.344,1.3766666666666665,1.3793333333333333,1.3359999999999999,312500.0
2010-10-21,1.3739999999999999,1.3833333333333333,1.3966666666666665,1.3633333333333333,417100.0
2010-10-22,1.3786666666666667,1.3813333333333333,1.3953333333333333,1.37,161100.0
2010-10-25,1.3960000000000001,1.3900000000000001,1.3986666666666667,1.3820000000000001,118500.0
2010-10-26,1.3866666666666667,1.424,1.458,1.3673333333333335,660900.0
2010-10-27,1.4166666666666667,1.4,1.4253333333333333,1.3766666666666665,356500.0
2010-10-28,1.426,1.4126666666666667,1.4333333333333333,1.3973333333333333,224200.0
2010-10-29,1.4093333333333333,1.456,1.4566666666666668,1.4034666666666666,280600.0
2010-11-01,1.4626666666666668,1.4273333333333333,1.5166666666666666,1.4206666666666665,455800.0
2010-11-02,1.4453333333333334,1.4166666666666667,1.4586133333333333,1.4033333333333333,322500.0
2010-11-03,1.4186666666666667,1.4513333333333334,1.5,1.4106666666666667,372600.0
2010-11-04,1.5066666666666668,1.66,1.6886666666666665,1.4767333333333332,1874000.0
2010-11-05,1.6580000000000001,1.6293333333333335,1.6646666666666665,1.5813333333333333,1011000.0
2010-11-08,1.6333333333333333,1.6653333333333333,1.6666666666666667,1.602,509500.0
2010-11-09,1.6666666666666667,1.642,1.7126666666666668,1.60334,956400.0
2010-11-10,1.632,1.9573333333333334,1.998,1.6033333333333333,3060500.0
2010-11-11,1.9066666666666667,1.869,1.9400000000000002,1.8219999999999998,1945300.0
2010-11-12,1.8833333333333333,1.9893333333333334,2.033333333333333,1.8713333333333333,2729100.0
2010-11-15,2.0146666666666664,2.0533333333333332,2.1959666666666666,2.0146666666666664,2622900.0
2010-11-16,2.0666666666666664,1.9780000000000002,2.0933333333333333,1.8946666666666667,1347600.0
2010-11-17,2.013333333333333,1.966,2.05,1.9073333333333333,750000.0
2010-11-18,2.0446666666666666,1.9926666666666668,2.0493333333333332,1.9280066666666666,956100.0
2010-11-19,2.010666666666667,2.066,2.0913333333333335,1.98,1150500.0
2010-11-22,2.1046666666666667,2.2266666666666666,2.23,2.1,1529700.0
2010-11-23,2.219333333333333,2.304666666666667,2.3786666666666667,2.1460066666666666,1577800.0
2010-11-24,2.3513333333333337,2.3646666666666665,2.3979999999999997,2.2889333333333335,1425000.0
2010-11-26,2.3733333333333335,2.3546666666666667,2.4,2.3166666666666664,350600.0
2010-11-29,2.360813333333333,2.2886666666666664,2.396666666666667,2.222,1145600.0
2010-11-30,2.2493333333333334,2.3553333333333333,2.3553333333333333,2.227333333333333,2222600.0
2010-12-01,2.3913333333333333,2.29,2.428,2.23,1299200.0
2010-12-02,2.267333333333333,2.1566666666666667,2.2864999999999998,2.08,2007000.0
2010-12-03,2.134,2.099333333333333,2.15,2.058,1160100.0
2010-12-06,2.09,2.0206666666666666,2.0966666666666667,1.9706666666666666,1274400.0
2010-12-07,2.0326666666666666,2.104,2.1599999999999997,2.0033333333333334,1311300.0
2010-12-08,2.165333333333333,2.158,2.166,2.1013333333333333,660000.0
2010-12-09,2.167333333333333,2.1366666666666663,2.1813333333333333,2.11,406000.0
2010-12-10,2.1366666666666663,2.1013333333333333,2.1946666666666665,2.0753399999999997,429400.0
2010-12-13,2.1093333333333333,2.0366666666666666,2.118,2.0266666666666664,410400.0
